grupo,motivo
1,"Tuxtepec MARTES -- fijo a F 350_2. El enganche de mayoristas por zona oscila sin converger y a veces lo intercambia con el grupo 4 (Cosamaloapan) via F 350_1. Hallado en produccion 2026-08-12."
4,"Cosamaloapan MARTES -- fijo a F 350_1; misma razon que el grupo 1."
