no_sucursal,num_tienda,nombre_excel,nombre_bd,lat_excel,lon_excel,lat_bd,lon_bd,dist_m,flag,estado_revision
84,84,Tiendas Lores Amatlán,Amatlán,18.8506118,-96.9144553,18.8508555,-96.9144768,27,,ok
85,85,Tiendas Lores Isla Suc. 3,Isla 3,18.0236809,-95.5292083,18.023943,-95.5292646,30,,ok
86,86,Tiendas Lores Carlos A. Carrillo 2,Carlos A. Carrillo 2,18.3707476,-95.7588856,18.3710734,-95.7587354,40,,ok
87,87,Tiendas Lores Jamapa,Jamapa,19.0403628,-96.2401878,19.0405453,-96.2402307,21,,ok
88,88,Tiendas Lores Lerdo 2,Lerdo de Tejada 2,18.6290641,-95.5138015,18.6292734,-95.5138152,23,,ok
89,89,Tiendas Lores Gabino Barreda,Gabino Barreda,18.1783018,-96.0913399,18.1783099,-96.0911979,15,,ok
90,90,Tienda Lores San Andrés Tuxtla,San Andrés 1,18.4467646,-95.215943,18.4829267,-95.2196189,4040,REVISAR_COORD,revisado_ok
91,92,Tiendas Lores Rodriguez Clara 2,Rodriguez 2,17.9981987,-95.3992495,17.9984844,-95.3993782,35,,ok
92,91,Tiendas lores San Andres Suc.2,San Andrés 2,18.4352819,-95.2168384,18.4357071,-95.2168838,48,,ok
93,93,Tiendas Lores Playa Vicente Suc. 2,Playa Vicente 2,17.8309844,-95.8201343,17.8312704,-95.8202416,34,,ok
94,94,Tiendas Lores Puente Jula,Puente Jula,19.1994264,-96.3459923,19.1996392,-96.3460245,24,,ok
95,95,Tiendas Lores Chocamán,Chocamán,19.012872,-97.0288467,19.012943,-97.0289004,10,,ok
96,96,Tiendas Lores Catemaco 2,Catemaco 2,18.42053,-95.10498,18.4207539,-95.1050122,25,,ok
97,97,Tiendas Lores Jalapa de Díaz 2,Jalapa de Díaz 2,18.0736124,-96.5369678,18.0738993,-96.5370343,33,,ok
98,98,Tiendas Lores Sihuapan,San Andres 3,18.4350018,-95.1764181,18.4351341,-95.1763752,15,,ok
99,99,Tiendas lores Tejería,Tejería,19.1643603,-96.2215827,19.1669547,-96.2205528,308,,ok
100,100,Tiendas Lores Amatitlán,Amatitlán,18.4342256,-95.7337754,18.4343783,-95.7336788,20,,ok
101,101,"Tiendas Lores Tierra Blanca 8 ""Gran Apertura 14 de Febrero""",Tierra Blanca 8,18.4454283,-96.3464795,18.4458711,-96.3466791,54,,ok
